Site,easting,northing,elevation,refined_es,st_from_dr,st_from_CP,bottom_type,
SS40,331204.8932,4310014.28,2765.73999,0.370768136,0.35,0.372,sapr,0.361
SS41,331227.1887,4310051.281,2772.449951,0.8,1.08,0.924,rock,0.702
SS42,331246.638,4310083.539,2784.370117,0.75,0.82,1.14,rock,0.98
SS43,331267.5104,4310115.796,2796.23999,0.681421443,0.56,0.709,rock,0.6345
SS44,331108.4877,4310015.516,2763.51001,1,0.4,0.6,sapr,0.6
SS46,331116.6073,4310042.373,2764.530029,1.031345291,0.82,1.145,sapr,1.1625
SS47,331150.3347,4310098.586,2774.600098,0.3,0.42,0.29,rock,0.355
SS48,331176.5672,4310137.934,2788.459961,0.5,0.44,0.691,rock,0.5655
SS49,331195.3047,4310174.16,2800.98999,0.64,0.7,0.682,rock,0.691
40B,331210.6787,4310023.501,2768.461051,0.2,0.15,0.356,rock,0.253
40C,331219.2491,4310038.363,2769.808094,0.75908477,0.86,0.741,rock,0.6505
41B,331235.6441,4310064.002,2777.077344,0.9,0.72,0.922,rock,0.821
42B,331256.7142,4310098.635,2790.304002,0.7,0.5,0.743,sapr,0.6215
42ROCK,331253.975,4310091.328,2787.859197,0,0,0,rock,0
43B,331291.3602,4310159.8,2811.561259,0.421249299,0.51,0.432,rock,0.471
43ROCK,331285.0698,4310146.897,2808.337745,0,0,0,rock,0
43C,331283.3072,4310146.481,2807.938589,0.514445291,0.34,0.435,rock,0.3875
49ROCK,331229.3802,4310179.354,2808.721666,0,0,0,rock,0
49B,331213.5907,4310200.536,2811.555623,0.42,0.36,0.312,rock,0.421
49C,331202.8848,4310185.318,2804.908285,0.948744689,0.73,0.89,rock,0.81
44ROCK,331106.4112,4310023.627,2764.599465,0,0,0,rock,0
39Flux,331193.7018,4309987.255,2760.87164,1,0.75,1.263,rock,1.2565
GRAVELRIVER,331258.8746,4310022.179,2769.133439,0,0,0,rock,0
GRAVELRIVERB,331238.1169,4309969.739,2760.113351,0,0,0,rock,0
P235,331279.42,4310142.45,0,0.304754309,0.304754309,0.304754309,sapr,0.304754309
P215,331274.5,4310135.1,0,0.646472946,0.646472946,0.646472946,rock,0.646472946